"accession","analysis_status","analysis_summary.0.key","analysis_summary.0.value","analysis_summary.1.key","analysis_summary.1.value","analysis_summary.2.key","analysis_summary.2.value","analysis_summary.3.key","analysis_summary.3.value","analysis_summary.4.key","analysis_summary.4.value","analysis_summary.5.key","analysis_summary.5.value","analysis_summary.6.key","analysis_summary.6.value","analysis_summary.7.key","analysis_summary.7.value","analysis_summary.8.key","analysis_summary.8.value","analysis_summary.9.key","analysis_summary.9.value","assembly","complete_time","downloads","experiment_type","instrument_model","instrument_platform","is_private","last_update","mgx_accession","pipeline_version","run","sample","study","url"
"MGYA00216552","completed","Submitted nucleotide sequences","7472055","Nucleotide sequences after format-specific filtering","7457465","Nucleotide sequences after length filtering","6857095","Nucleotide sequences after undetermined bases filtering","6856310","Reads with predicted CDS","6548757","Reads with predicted RNA","27737","Reads with InterProScan match","2931395","Predicted CDS","6650028","Predicted CDS with InterProScan match","2936442","Total InterProScan matches","4842718","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713404?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426851?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216552?format=csv"
"MGYA00216553","completed","Submitted nucleotide sequences","2831355","Nucleotide sequences after format-specific filtering","2828215","Nucleotide sequences after length filtering","2639018","Nucleotide sequences after undetermined bases filtering","2638888","Reads with predicted CDS","2519352","Reads with predicted RNA","12126","Reads with InterProScan match","1042547","Predicted CDS","2530859","Predicted CDS with InterProScan match","1043125","Total InterProScan matches","1649452","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726026?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426851?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216553?format=csv"
"MGYA00216554","completed","Submitted nucleotide sequences","46674316","Nucleotide sequences after format-specific filtering","46610165","Nucleotide sequences after length filtering","40750089","Nucleotide sequences after undetermined bases filtering","40749021","Reads with predicted CDS","39121204","Reads with predicted RNA","84122","Reads with InterProScan match","13772005","Predicted CDS","39282236","Predicted CDS with InterProScan match","13778443","Total InterProScan matches","21571979","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725997?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426826?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216554?format=csv"
"MGYA00216555","completed","Submitted nucleotide sequences","18748351","Nucleotide sequences after format-specific filtering","18721415","Nucleotide sequences after length filtering","16219379","Nucleotide sequences after undetermined bases filtering","16219230","Reads with predicted CDS","15410978","Reads with predicted RNA","94729","Reads with InterProScan match","6379877","Predicted CDS","15439000","Predicted CDS with InterProScan match","6380714","Total InterProScan matches","9925889","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726006?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426839?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216555?format=csv"
"MGYA00216556","completed","Submitted nucleotide sequences","13481984","Nucleotide sequences after format-specific filtering","13462174","Nucleotide sequences after length filtering","11812717","Nucleotide sequences after undetermined bases filtering","11812604","Reads with predicted CDS","11275146","Reads with predicted RNA","51516","Reads with InterProScan match","4650675","Predicted CDS","11311271","Predicted CDS with InterProScan match","4652375","Total InterProScan matches","7317861","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725986?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426816?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216556?format=csv"
"MGYA00216557","completed","Submitted nucleotide sequences","48393390","Nucleotide sequences after format-specific filtering","48352966","Nucleotide sequences after length filtering","45760351","Nucleotide sequences after undetermined bases filtering","45758439","Reads with predicted CDS","43306111","Reads with predicted RNA","371966","Reads with InterProScan match","19039964","Predicted CDS","43457617","Predicted CDS with InterProScan match","19046253","Total InterProScan matches","30016109","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725988?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426821?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216557?format=csv"
"MGYA00216558","completed","Submitted nucleotide sequences","1613760","Nucleotide sequences after format-specific filtering","1610736","Nucleotide sequences after length filtering","1179280","Nucleotide sequences after undetermined bases filtering","1179236","Reads with predicted CDS","1126351","Reads with predicted RNA","3575","Reads with InterProScan match","510210","Predicted CDS","1143688","Predicted CDS with InterProScan match","511062","Total InterProScan matches","836691","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592261?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426816?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216558?format=csv"
"MGYA00216559","completed","Submitted nucleotide sequences","26757283","Nucleotide sequences after format-specific filtering","26725938","Nucleotide sequences after length filtering","23472202","Nucleotide sequences after undetermined bases filtering","23471920","Reads with predicted CDS","22556024","Reads with predicted RNA","63913","Reads with InterProScan match","8840743","Predicted CDS","22614945","Predicted CDS with InterProScan match","8843154","Total InterProScan matches","13780778","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725971?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426801?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216559?format=csv"
"MGYA00216560","completed","Submitted nucleotide sequences","58961400","Nucleotide sequences after format-specific filtering","58910055","Nucleotide sequences after length filtering","55084467","Nucleotide sequences after undetermined bases filtering","55082106","Reads with predicted CDS","52922138","Reads with predicted RNA","147281","Reads with InterProScan match","20984617","Predicted CDS","53080609","Predicted CDS with InterProScan match","20991227","Total InterProScan matches","32842174","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725970?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426801?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216560?format=csv"
"MGYA00216561","completed","Submitted nucleotide sequences","42932711","Nucleotide sequences after format-specific filtering","42865601","Nucleotide sequences after length filtering","27177953","Nucleotide sequences after undetermined bases filtering","27177267","Reads with predicted CDS","25765491","Reads with predicted RNA","139255","Reads with InterProScan match","10671842","Predicted CDS","25845317","Predicted CDS with InterProScan match","10674702","Total InterProScan matches","16638949","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725979?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426810?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216561?format=csv"
"MGYA00216562","completed","Submitted nucleotide sequences","19201194","Nucleotide sequences after format-specific filtering","19172960","Nucleotide sequences after length filtering","17276956","Nucleotide sequences after undetermined bases filtering","17275350","Reads with predicted CDS","16570771","Reads with predicted RNA","72952","Reads with InterProScan match","7702408","Predicted CDS","16808126","Predicted CDS with InterProScan match","7714984","Total InterProScan matches","12799416","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713377?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426824?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216562?format=csv"
"MGYA00216563","completed","Submitted nucleotide sequences","124998938","Nucleotide sequences after format-specific filtering","124861108","Nucleotide sequences after length filtering","116867090","Nucleotide sequences after undetermined bases filtering","116854541","Reads with predicted CDS","112447704","Reads with predicted RNA","477851","Reads with InterProScan match","52544853","Predicted CDS","113811092","Predicted CDS with InterProScan match","52632286","Total InterProScan matches","86963377","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713394?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426841?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216563?format=csv"
"MGYA00216564","completed","Submitted nucleotide sequences","12391941","Nucleotide sequences after format-specific filtering","12377018","Nucleotide sequences after length filtering","10923640","Nucleotide sequences after undetermined bases filtering","10923532","Reads with predicted CDS","10481694","Reads with predicted RNA","42361","Reads with InterProScan match","4147280","Predicted CDS","10509387","Predicted CDS with InterProScan match","4148401","Total InterProScan matches","6490983","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726034?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426858?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216564?format=csv"
"MGYA00216565","completed","Submitted nucleotide sequences","29042897","Nucleotide sequences after format-specific filtering","29004336","Nucleotide sequences after length filtering","22599808","Nucleotide sequences after undetermined bases filtering","22598931","Reads with predicted CDS","21370597","Reads with predicted RNA","105262","Reads with InterProScan match","9116320","Predicted CDS","21557717","Predicted CDS with InterProScan match","9125569","Total InterProScan matches","14571456","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592273?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426842?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216565?format=csv"
"MGYA00216566","completed","Submitted nucleotide sequences","44538436","Nucleotide sequences after format-specific filtering","44461196","Nucleotide sequences after length filtering","33608136","Nucleotide sequences after undetermined bases filtering","33607531","Reads with predicted CDS","32087842","Reads with predicted RNA","149134","Reads with InterProScan match","12655577","Predicted CDS","32301865","Predicted CDS with InterProScan match","12667180","Total InterProScan matches","20053615","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592258?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426809?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216566?format=csv"
"MGYA00216567","completed","Submitted nucleotide sequences","25188786","Nucleotide sequences after format-specific filtering","25154184","Nucleotide sequences after length filtering","22558993","Nucleotide sequences after undetermined bases filtering","22557872","Reads with predicted CDS","21666265","Reads with predicted RNA","93958","Reads with InterProScan match","10151442","Predicted CDS","21969827","Predicted CDS with InterProScan match","10166489","Total InterProScan matches","16893047","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592337?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426824?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216567?format=csv"
"MGYA00216568","completed","Submitted nucleotide sequences","5631780","Nucleotide sequences after format-specific filtering","5621876","Nucleotide sequences after length filtering","4918924","Nucleotide sequences after undetermined bases filtering","4918789","Reads with predicted CDS","4699426","Reads with predicted RNA","17455","Reads with InterProScan match","1697289","Predicted CDS","4718457","Predicted CDS with InterProScan match","1698126","Total InterProScan matches","2665201","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726000?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426830?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216568?format=csv"
"MGYA00216569","completed","Submitted nucleotide sequences","6899337","Nucleotide sequences after format-specific filtering","6889785","Nucleotide sequences after length filtering","6053150","Nucleotide sequences after undetermined bases filtering","6052994","Reads with predicted CDS","5817148","Reads with predicted RNA","17310","Reads with InterProScan match","2359376","Predicted CDS","5837506","Predicted CDS with InterProScan match","2360370","Total InterProScan matches","3715330","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726001?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426834?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216569?format=csv"
"MGYA00216570","completed","Submitted nucleotide sequences","9342599","Nucleotide sequences after format-specific filtering","9321918","Nucleotide sequences after length filtering","8411892","Nucleotide sequences after undetermined bases filtering","8411815","Reads with predicted CDS","8077328","Reads with predicted RNA","39619","Reads with InterProScan match","3786086","Predicted CDS","8201008","Predicted CDS with InterProScan match","3791800","Total InterProScan matches","6302799","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592336?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426820?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216570?format=csv"
"MGYA00216571","completed","Submitted nucleotide sequences","33249697","Nucleotide sequences after format-specific filtering","33208401","Nucleotide sequences after length filtering","30956033","Nucleotide sequences after undetermined bases filtering","30952393","Reads with predicted CDS","29789455","Reads with predicted RNA","107458","Reads with InterProScan match","13482548","Predicted CDS","30239837","Predicted CDS with InterProScan match","13504819","Total InterProScan matches","22468463","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713378?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426825?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216571?format=csv"
"MGYA00216572","completed","Submitted nucleotide sequences","32166026","Nucleotide sequences after format-specific filtering","32119361","Nucleotide sequences after length filtering","29756273","Nucleotide sequences after undetermined bases filtering","29753167","Reads with predicted CDS","28496588","Reads with predicted RNA","146984","Reads with InterProScan match","12791005","Predicted CDS","28902940","Predicted CDS with InterProScan match","12811050","Total InterProScan matches","21115994","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713375?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426822?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216572?format=csv"
"MGYA00216573","completed","Submitted nucleotide sequences","13995489","Nucleotide sequences after format-specific filtering","13967483","Nucleotide sequences after length filtering","11875753","Nucleotide sequences after undetermined bases filtering","11875476","Reads with predicted CDS","11406917","Reads with predicted RNA","47059","Reads with InterProScan match","4820272","Predicted CDS","11433587","Predicted CDS with InterProScan match","4821436","Total InterProScan matches","7549751","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725967?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426795?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216573?format=csv"
"MGYA00216574","completed","Submitted nucleotide sequences","4763082","Nucleotide sequences after format-specific filtering","4751741","Nucleotide sequences after length filtering","4373891","Nucleotide sequences after undetermined bases filtering","4373414","Reads with predicted CDS","4172801","Reads with predicted RNA","16625","Reads with InterProScan match","1730696","Predicted CDS","4228751","Predicted CDS with InterProScan match","1732743","Total InterProScan matches","2804991","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713366?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426813?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216574?format=csv"
"MGYA00216575","completed","Submitted nucleotide sequences","37897503","Nucleotide sequences after format-specific filtering","37846433","Nucleotide sequences after length filtering","35104140","Nucleotide sequences after undetermined bases filtering","35099958","Reads with predicted CDS","33420388","Reads with predicted RNA","132938","Reads with InterProScan match","13817213","Predicted CDS","33839866","Predicted CDS with InterProScan match","13835387","Total InterProScan matches","22507900","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713364?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426811?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216575?format=csv"
"MGYA00216576","completed","Submitted nucleotide sequences","69275417","Nucleotide sequences after format-specific filtering","69186926","Nucleotide sequences after length filtering","64418649","Nucleotide sequences after undetermined bases filtering","64411144","Reads with predicted CDS","62092349","Reads with predicted RNA","229088","Reads with InterProScan match","28199660","Predicted CDS","62835811","Predicted CDS with InterProScan match","28237907","Total InterProScan matches","46289843","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713342?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426789?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216576?format=csv"
"MGYA00216577","completed","Submitted nucleotide sequences","37585195","Nucleotide sequences after format-specific filtering","37538176","Nucleotide sequences after length filtering","35030851","Nucleotide sequences after undetermined bases filtering","35026968","Reads with predicted CDS","33515566","Reads with predicted RNA","192030","Reads with InterProScan match","15583004","Predicted CDS","33980402","Predicted CDS with InterProScan match","15605181","Total InterProScan matches","25752444","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713335?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426782?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216577?format=csv"
"MGYA00216578","completed","Submitted nucleotide sequences","32039699","Nucleotide sequences after format-specific filtering","32009352","Nucleotide sequences after length filtering","29967926","Nucleotide sequences after undetermined bases filtering","29966581","Reads with predicted CDS","28611242","Reads with predicted RNA","129728","Reads with InterProScan match","11994496","Predicted CDS","28714992","Predicted CDS with InterProScan match","11999248","Total InterProScan matches","18940736","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725985?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426816?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216578?format=csv"
"MGYA00216579","completed","Submitted nucleotide sequences","38864095","Nucleotide sequences after format-specific filtering","38813078","Nucleotide sequences after length filtering","36044880","Nucleotide sequences after undetermined bases filtering","36041289","Reads with predicted CDS","34518605","Reads with predicted RNA","215241","Reads with InterProScan match","16240305","Predicted CDS","34926889","Predicted CDS with InterProScan match","16262452","Total InterProScan matches","26765151","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713376?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426823?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216579?format=csv"
"MGYA00216580","completed","Submitted nucleotide sequences","4566374","Nucleotide sequences after format-specific filtering","4559417","Nucleotide sequences after length filtering","3952814","Nucleotide sequences after undetermined bases filtering","3952777","Reads with predicted CDS","3790850","Reads with predicted RNA","14575","Reads with InterProScan match","1420964","Predicted CDS","3800379","Predicted CDS with InterProScan match","1421305","Total InterProScan matches","2221616","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1726022?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426850?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216580?format=csv"
"MGYA00216581","completed","Submitted nucleotide sequences","42284574","Nucleotide sequences after format-specific filtering","42214361","Nucleotide sequences after length filtering","32702495","Nucleotide sequences after undetermined bases filtering","32701733","Reads with predicted CDS","31031209","Reads with predicted RNA","167010","Reads with InterProScan match","13214982","Predicted CDS","31302546","Predicted CDS with InterProScan match","13228966","Total InterProScan matches","21163570","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2592267?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426827?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216581?format=csv"
"MGYA00216582","completed","Submitted nucleotide sequences","3277516","Nucleotide sequences after format-specific filtering","3270152","Nucleotide sequences after length filtering","2957181","Nucleotide sequences after undetermined bases filtering","2956852","Reads with predicted CDS","2826015","Reads with predicted RNA","11512","Reads with InterProScan match","1213770","Predicted CDS","2854452","Predicted CDS with InterProScan match","1215104","Total InterProScan matches","1972407","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1713340?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426787?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216582?format=csv"
"MGYA00216583","completed","Submitted nucleotide sequences","4400664","Nucleotide sequences after format-specific filtering","4395778","Nucleotide sequences after length filtering","4086070","Nucleotide sequences after undetermined bases filtering","4085914","Reads with predicted CDS","3900893","Reads with predicted RNA","16915","Reads with InterProScan match","1544429","Predicted CDS","3910359","Predicted CDS with InterProScan match","1544759","Total InterProScan matches","2417092","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725955?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426787?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216583?format=csv"
"MGYA00216584","completed","Submitted nucleotide sequences","19775738","Nucleotide sequences after format-specific filtering","19757590","Nucleotide sequences after length filtering","18489880","Nucleotide sequences after undetermined bases filtering","18489032","Reads with predicted CDS","17643883","Reads with predicted RNA","96113","Reads with InterProScan match","7503024","Predicted CDS","17686174","Predicted CDS with InterProScan match","7504675","Total InterProScan matches","11799429","","2018-10-08T00:00:00","","metagenomic","Illumina HiSeq 3000","ILLUMINA",False,"2024-01-29T15:29:19.757516","","4.1","https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR1725959?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1426788?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00001312?format=csv","https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00216584?format=csv"
